"track","track_label","model","icd9","group","n","mean","sd","min","q1","median","q3","max","nearest_target","nearest_target_label","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","159","has a reference match",2038,0.828,0.056,0.637,0.792,0.829,0.869,0.983,"C39","Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs","malignant neoplasm of other and illdefined sites within the digestive organs and peritoneum","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","160","has a reference match",2038,0.86,0.046,0.676,0.83,0.86,0.889,0.989,"C30","Malignant neoplasm of nasal cavity and middle ear","malignant neoplasm of nasal cavities middle ear and accessory sinuses","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","161","has a reference match",2038,0.861,0.045,0.68,0.833,0.862,0.888,1,"C32","Malignant neoplasm of larynx","malignant neoplasm of larynx","1","cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","162","has a reference match",2038,0.854,0.05,0.664,0.821,0.856,0.887,0.996,"C34","Malignant neoplasm of bronchus and lung","malignant neoplasm of trachea bronchus and lung","9","lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","163","has a reference match",2038,0.822,0.058,0.614,0.784,0.824,0.861,0.986,"C38","Malignant neoplasm of heart, mediastinum and pleura","malignant neoplasm of pleura","9","lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","164","has a reference match",2038,0.859,0.046,0.685,0.829,0.86,0.887,0.988,"C69","Malignant neoplasm of eye and adnexa","malignant neoplasm of thymus heart and mediastinum","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","165","has a reference match",2038,0.826,0.059,0.623,0.787,0.828,0.868,0.993,"C39","Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs","malignant neoplasm of other and illdefined sites within the respiratory system and intrathoracic organs","9","lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","170","has a reference match",2038,0.857,0.044,0.704,0.828,0.857,0.883,0.984,"C40","Malignant neoplasm of bone and articular cartilage of limbs","malignant neoplasm of bone and articular cartilage","11","cancer of bone and connective tissue"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","171","has a reference match",2038,0.852,0.044,0.702,0.823,0.852,0.877,0.997,"C49","Malignant neoplasm of other connective and soft tissue","malignant neoplasm of connective and other soft tissue","11","cancer of bone and connective tissue"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","172","has a reference match",2038,0.861,0.043,0.697,0.834,0.863,0.89,1,"C43","Malignant melanoma of skin","malignant melanoma of skin","12","skin melanoma"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","174","has a reference match",2038,0.854,0.044,0.695,0.827,0.854,0.879,0.989,"C50","Malignant neoplasm of breast","malignant neoplasm of female breast","13","breast cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","175","no reference match",2038,0.856,0.045,0.682,0.828,0.856,0.881,0.988,"C50","Malignant neoplasm of breast","malignant neoplasm of male breast","13","breast cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","176","has a reference match",2038,0.835,0.054,0.634,0.794,0.836,0.878,0.989,"C46","Kaposi's sarcoma","kaposis sarcoma","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","179","has a reference match",2038,0.848,0.04,0.7,0.819,0.849,0.875,1,"C55","Malignant neoplasm of uterus, part unspecified","malignant neoplasm of uterus part unspecified","14","uterus cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","180","has a reference match",2038,0.859,0.043,0.695,0.831,0.858,0.884,1,"C53","Malignant neoplasm of cervix uteri","malignant neoplasm of cervix uteri","15","cervix cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","181","has a reference match",2038,0.853,0.046,0.664,0.825,0.854,0.88,1,"C58","Malignant neoplasm of placenta","malignant neoplasm of placenta","16","cancer of other female genital organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","182","has a reference match",2038,0.853,0.045,0.681,0.824,0.853,0.878,0.989,"C17","Malignant neoplasm of small intestine","malignant neoplasm of body of uterus","14","uterus cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","183","has a reference match",2038,0.856,0.047,0.677,0.826,0.856,0.883,0.987,"C69","Malignant neoplasm of eye and adnexa","malignant neoplasm of ovary and other uterine adnexa","16","cancer of other female genital organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","184","has a reference match",2038,0.849,0.052,0.644,0.816,0.851,0.882,1,"C57","Malignant neoplasm of other and unspecified female genital organs","malignant neoplasm of other and unspecified female genital organs","16","cancer of other female genital organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","185","has a reference match",2038,0.853,0.047,0.668,0.824,0.855,0.881,1,"C61","Malignant neoplasm of prostate","malignant neoplasm of prostate","17","prostate cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","186","has a reference match",2038,0.868,0.042,0.72,0.841,0.869,0.896,1,"C62","Malignant neoplasm of testis","malignant neoplasm of testis","18","testis cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","187","has a reference match",2038,0.86,0.047,0.679,0.831,0.863,0.891,0.989,"C63","Malignant neoplasm of other and unspecified male genital organs","malignant neoplasm of penis and other male genital organs","19","cancer of other male genital organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","188","has a reference match",2038,0.862,0.043,0.695,0.835,0.862,0.887,1,"C67","Malignant neoplasm of bladder","malignant neoplasm of bladder","20","bladder cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","189","has a reference match",2038,0.869,0.045,0.689,0.84,0.871,0.898,0.996,"C68","Malignant neoplasm of other and unspecified urinary organs","malignant neoplasm of kidney and other and unspecified urinary organs","21","cancer of kidney and other urinary organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","190","has a reference match",2038,0.856,0.044,0.697,0.829,0.856,0.882,0.987,"C60","Malignant neoplasm of penis","malignant neoplasm of eye","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","191","has a reference match",2038,0.847,0.046,0.674,0.818,0.847,0.873,1,"C71","Malignant neoplasm of brain","malignant neoplasm of brain","22","cancer of brain and nervous system"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","192","has a reference match",2038,0.862,0.044,0.694,0.833,0.863,0.889,0.987,"C24","Malignant neoplasm of other and unspecified parts of biliary tract","malignant neoplasm of other and unspecified parts of nervous system","22","cancer of brain and nervous system"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","193","has a reference match",2038,0.86,0.046,0.687,0.832,0.861,0.888,1,"C73","Malignant neoplasm of thyroid gland","malignant neoplasm of thyroid gland","23","thyroid cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","194","has a reference match",2038,0.859,0.042,0.705,0.831,0.859,0.885,1,"C75","Malignant neoplasm of other endocrine glands and related structures","malignant neoplasm of other endocrine glands and related structures","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","195","has a reference match",2038,0.837,0.049,0.655,0.805,0.839,0.872,0.989,"C76","Malignant neoplasm of other and ill-defined sites","malignant neoplasm of other and illdefined sites","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","196","has a reference match",2038,0.818,0.055,0.616,0.783,0.818,0.852,1,"C77","Secondary and unspecified malignant neoplasm of lymph nodes","secondary and unspecified malignant neoplasm of lymph nodes","24","secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","197","has a reference match",2038,0.862,0.043,0.693,0.835,0.865,0.891,0.993,"C78","Secondary malignant neoplasm of respiratory and digestive organs","secondary malignant neoplasm of respiratory and digestive systems","24","secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","198","has a reference match",2038,0.849,0.044,0.682,0.821,0.851,0.877,0.983,"C79","Secondary malignant neoplasm of other and unspecified sites","secondary malignant neoplasm of other specified sites","24","secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","199","has a reference match",2038,0.832,0.04,0.683,0.807,0.832,0.857,1,"C80","Malignant neoplasm without specification of site","malignant neoplasm without specification of site","25","malignant neoplasm without specification of site"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","200","has a reference match",2038,0.819,0.054,0.633,0.785,0.819,0.855,0.957,"C63","Malignant neoplasm of other and unspecified male genital organs","lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue","26","nonhodgkins lymphoma"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","201","has a reference match",2038,0.834,0.059,0.636,0.789,0.833,0.883,0.971,"G20","Parkinson's disease","hodgkins disease","27","hodgkins disease"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","202","has a reference match",2038,0.838,0.046,0.691,0.808,0.84,0.868,0.968,"D47","Other neoplasms of uncertain or unknown behaviour of lymphoid, haematopoietic and related tissue","other malignant neoplasms of lymphoid and histiocytic tissue","26","nonhodgkins lymphoma"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","203","has a reference match",2038,0.843,0.048,0.65,0.813,0.847,0.877,0.993,"C90","Multiple myeloma and malignant plasma cell neoplasms","multiple myeloma and immunoproliferative neoplasms","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","204","has a reference match",2038,0.808,0.054,0.646,0.766,0.809,0.849,0.986,"C91","Lymphoid leukaemia","lymphoid leukemia","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","205","has a reference match",2038,0.805,0.048,0.636,0.771,0.806,0.839,0.986,"C92","Myeloid leukaemia","myeloid leukemia","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","206","has a reference match",2038,0.816,0.053,0.637,0.775,0.818,0.855,0.99,"C93","Monocytic leukaemia","monocytic leukemia","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","207","has a reference match",2038,0.797,0.074,0.557,0.741,0.802,0.859,0.941,"M06","Other rheumatoid arthritis","other specified leukemia","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","208","has a reference match",2038,0.836,0.046,0.651,0.806,0.837,0.866,0.993,"C95","Leukaemia of unspecified cell type","leukemia of unspecified cell type","28","multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","209","no reference match",2038,0.87,0.042,0.702,0.842,0.875,0.904,0.955,"A24","Glanders and melioidosis","neuroendocrine tumors","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","225","has a reference match",2038,0.862,0.043,0.691,0.835,0.863,0.889,0.998,"D33","Benign neoplasm of brain and other parts of central nervous system","benign neoplasm of brain and other parts of nervous system","29","other and unspecified benign neoplasm"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","230","has a reference match",2038,0.861,0.042,0.697,0.834,0.861,0.887,0.987,"D01","Carcinoma in situ of other and unspecified digestive organs","carcinoma in situ of digestive organs","4","cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","231","has a reference match",2038,0.852,0.042,0.686,0.825,0.853,0.881,0.99,"D02","Carcinoma in situ of middle ear and respiratory system","carcinoma in situ of respiratory system","9","lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","233","has a reference match",2038,0.848,0.047,0.658,0.819,0.849,0.877,0.992,"D02","Carcinoma in situ of middle ear and respiratory system","carcinoma in situ of breast and genitourinary system","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","234","has a reference match",2038,0.837,0.049,0.652,0.807,0.837,0.868,1,"D09","Carcinoma in situ of other and unspecified sites","carcinoma in situ of other and unspecified sites","10","other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","237","has a reference match",2038,0.856,0.048,0.661,0.825,0.859,0.89,0.981,"D43","Neoplasm of uncertain or unknown behaviour of brain and central nervous system","neoplasm of uncertain behavior of endocrine glands and nervous system","30","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","238","has a reference match",2038,0.822,0.057,0.611,0.784,0.824,0.864,0.981,"D48","Neoplasm of uncertain or unknown behaviour of other and unspecified sites","neoplasm of uncertain behavior of other and unspecified sites and tissues","30","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","239","no reference match",2038,0.832,0.041,0.667,0.806,0.832,0.858,0.943,"D15","Benign neoplasm of other and unspecified intrathoracic organs","neoplasms of unspecified nature","30","neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","240","has a reference match",2038,0.849,0.043,0.676,0.819,0.858,0.884,0.931,"H68","Eustachian salpingitis and obstruction","simple and unspecified goiter","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","241","has a reference match",2038,0.866,0.045,0.695,0.833,0.87,0.903,0.949,"D32","Benign neoplasm of meninges","nontoxic nodular goiter","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","242","has a reference match",2038,0.847,0.053,0.658,0.809,0.854,0.89,0.947,"B70","Diphyllobothriasis and sparganosis","thyrotoxicosis with or without goiter","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","243","has a reference match",2038,0.824,0.061,0.62,0.776,0.823,0.874,0.982,"E00","Congenital iodine-deficiency syndrome","congenital hypothyroidism","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","244","has a reference match",2038,0.855,0.046,0.688,0.823,0.86,0.889,0.974,"D59","Acquired haemolytic anaemia","acquired hypothyroidism","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","245","has a reference match",2038,0.823,0.07,0.607,0.769,0.826,0.877,1,"E06","Thyroiditis","thyroiditis","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","246","has a reference match",2038,0.851,0.053,0.671,0.812,0.858,0.892,1,"E07","Other disorders of thyroid","other disorders of thyroid","31","thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","249","no reference match",2038,0.845,0.058,0.634,0.803,0.85,0.891,0.957,"G21","Secondary parkinsonism","secondary diabetes mellitus","32","diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","250","has a reference match",2038,0.786,0.07,0.571,0.731,0.786,0.843,0.966,"O24","Diabetes mellitus in pregnancy","diabetes mellitus","32","diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","251","has a reference match",2038,0.855,0.044,0.676,0.827,0.861,0.889,0.953,"E16","Other disorders of pancreatic internal secretion","other disorders of pancreatic internal secretiondisorders of parathyroid gland","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","252","has a reference match",2038,0.844,0.054,0.653,0.806,0.851,0.89,0.955,"H04","Disorders of lacrimal system","disorders of parathyroid gland","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","253","has a reference match",2038,0.825,0.057,0.63,0.786,0.832,0.87,0.942,"E80","Disorders of porphyrin and bilirubin metabolism","disorders of the pituitary gland and its hypothalamic control","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","254","has a reference match",2038,0.838,0.047,0.662,0.806,0.842,0.877,0.976,"K11","Diseases of salivary glands","diseases of thymus gland","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","255","has a reference match",2038,0.871,0.038,0.727,0.848,0.876,0.898,0.963,"H04","Disorders of lacrimal system","disorders of adrenal glands","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","256","has a reference match",2038,0.841,0.062,0.624,0.795,0.848,0.893,1,"E28","Ovarian dysfunction","ovarian dysfunction","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","257","has a reference match",2038,0.835,0.059,0.629,0.791,0.839,0.881,1,"E29","Testicular dysfunction","testicular dysfunction","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","258","has a reference match",2038,0.855,0.041,0.698,0.83,0.86,0.886,0.955,"M30","Polyarteritis nodosa and related conditions","polyglandular dysfunction and related disorders","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","259","has a reference match",2038,0.843,0.062,0.644,0.799,0.849,0.893,1,"E34","Other endocrine disorders","other endocrine disorders","33","other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","260","has a reference match",2038,0.8,0.05,0.609,0.767,0.805,0.837,1,"E40","Kwashiorkor","kwashiorkor","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","261","has a reference match",2038,0.839,0.03,0.735,0.821,0.842,0.86,1,"E41","Nutritional marasmus","nutritional marasmus","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","262","has a reference match",2038,0.806,0.036,0.669,0.783,0.809,0.831,0.922,"E43","Unspecified severe protein-energy malnutrition","other severe proteincalorie malnutrition","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","263","has a reference match",2038,0.81,0.038,0.642,0.785,0.814,0.838,0.926,"E46","Unspecified protein-energy malnutrition","other and unspecified proteincalorie malnutrition","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","268","has a reference match",2038,0.826,0.06,0.621,0.78,0.826,0.874,1,"E55","Vitamin D deficiency","vitamin d deficiency","34","nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","270","has a reference match",2038,0.761,0.07,0.516,0.712,0.772,0.814,0.966,"E77","Disorders of glycoprotein metabolism","disorders of aminoacid transport and metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","271","has a reference match",2038,0.777,0.055,0.567,0.743,0.785,0.816,0.949,"E83","Disorders of mineral metabolism","disorders of carbohydrate transport and metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","272","has a reference match",2038,0.853,0.039,0.7,0.829,0.859,0.881,0.983,"E70","Disorders of aromatic amino-acid metabolism","disorders of lipoid metabolism","36","disorders of lipid metabolism"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","273","has a reference match",2038,0.798,0.061,0.575,0.757,0.808,0.843,0.981,"E83","Disorders of mineral metabolism","disorders of plasma protein metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","274","has a reference match",2038,0.781,0.087,0.533,0.716,0.778,0.848,1,"M10","Gout","gout","37","gout and other crystal arthropathies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","275","has a reference match",2038,0.791,0.062,0.573,0.749,0.802,0.838,1,"E83","Disorders of mineral metabolism","disorders of mineral metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","277","has a reference match",2038,0.816,0.052,0.624,0.782,0.821,0.853,0.948,"I99","Other and unspecified disorders of circulatory system","other and unspecified disorders of metabolism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","278","has a reference match",2038,0.849,0.043,0.672,0.824,0.857,0.882,0.932,"B70","Diphyllobothriasis and sparganosis","overweight obesity and other hyperalimentation","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","279","has a reference match",2038,0.849,0.041,0.694,0.823,0.853,0.88,0.94,"I69","Sequelae of cerebrovascular disease","disorders involving the immune mechanism","35","other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","280","has a reference match",2038,0.855,0.054,0.653,0.816,0.862,0.896,0.984,"D50","Iron deficiency anaemia","iron deficiency anemias","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","282","has a reference match",2038,0.84,0.053,0.647,0.8,0.846,0.881,0.963,"D58","Other hereditary haemolytic anaemias","hereditary hemolytic anemias","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","283","has a reference match",2038,0.854,0.047,0.683,0.821,0.862,0.889,0.984,"D59","Acquired haemolytic anaemia","acquired hemolytic anemias","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","284","has a reference match",2038,0.834,0.046,0.645,0.804,0.837,0.868,0.944,"C90","Multiple myeloma and malignant plasma cell neoplasms","aplastic anemia and other bone marrow failure syndromes","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","285","has a reference match",2038,0.862,0.043,0.674,0.836,0.87,0.894,0.962,"B99","Other and unspecified infectious diseases","other and unspecified anemias","38","anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","286","has a reference match",2038,0.852,0.044,0.66,0.828,0.858,0.884,0.96,"D68","Other coagulation defects","coagulation defects","39","other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","287","has a reference match",2038,0.853,0.036,0.711,0.829,0.858,0.88,0.995,"D69","Purpura and other haemorrhagic conditions","purpura and other hemorrhagic conditions","39","other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","288","has a reference match",2038,0.781,0.045,0.609,0.752,0.788,0.816,0.899,"R71","Abnormality of red blood cells","diseases of white blood cells","39","other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","289","has a reference match",2038,0.854,0.035,0.713,0.833,0.857,0.877,0.982,"D75","Other diseases of blood and blood-forming organs","other diseases of blood and bloodforming organs","39","other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","290","has a reference match",2038,0.821,0.07,0.6,0.769,0.824,0.878,0.96,"F01","Vascular dementia","dementias","40","delirium dementia and other cognitive disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","291","has a reference match",2038,0.868,0.033,0.732,0.849,0.872,0.892,0.942,"J60","Coalworker's pneumoconiosis","alcoholinduced mental disorders","41","alcohol and substancerelated disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","292","has a reference match",2038,0.872,0.034,0.73,0.852,0.877,0.896,0.949,"T74","Maltreatment syndromes","druginduced mental disorders","41","alcohol and substancerelated disorders"
