"track","track_label","model","icd9","group","n","mean","sd","min","q1","median","q3","max","nearest_target","nearest_target_label","icd9_label","ccs_id","ccs_category"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","150","has a reference match",2038,0.824,0.041,0.668,0.798,0.824,0.846,0.963,"C15","Malignant neoplasm of oesophagus","malignant neoplasm of esophagus",2,"cancer of esophagus"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","151","has a reference match",2038,0.824,0.044,0.641,0.796,0.824,0.847,0.952,"C15","Malignant neoplasm of oesophagus","malignant neoplasm of stomach",3,"cancer of stomach"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","152","has a reference match",2038,0.819,0.048,0.617,0.789,0.819,0.847,0.956,"C48","Malignant neoplasm of retroperitoneum and peritoneum","malignant neoplasm of small intestine including duodenum",4,"cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","153","has a reference match",2038,0.824,0.048,0.618,0.795,0.824,0.85,0.962,"C18","Malignant neoplasm of colon","malignant neoplasm of colon",5,"colon cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","154","has a reference match",2038,0.843,0.044,0.658,0.815,0.843,0.866,0.972,"C21","Malignant neoplasm of anus and anal canal","malignant neoplasm of rectum rectosigmoid junction and anus",6,"cancer of rectum and anus"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","155","has a reference match",2038,0.831,0.045,0.652,0.802,0.832,0.857,0.969,"C22","Malignant neoplasm of liver and intrahepatic bile ducts","malignant neoplasm of liver and intrahepatic bile ducts",7,"cancer of liver and intrahepatic bile duct"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","156","has a reference match",2038,0.833,0.045,0.658,0.804,0.834,0.859,0.965,"C22","Malignant neoplasm of liver and intrahepatic bile ducts","malignant neoplasm of gallbladder and extrahepatic bile ducts",4,"cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","157","has a reference match",2038,0.819,0.045,0.649,0.792,0.819,0.842,0.956,"C15","Malignant neoplasm of oesophagus","malignant neoplasm of pancreas",8,"pancreas cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","158","has a reference match",2038,0.803,0.051,0.589,0.772,0.802,0.832,0.963,"C48","Malignant neoplasm of retroperitoneum and peritoneum","malignant neoplasm of retroperitoneum and peritoneum",4,"cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","159","has a reference match",2038,0.824,0.048,0.623,0.795,0.822,0.853,0.976,"C39","Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs","malignant neoplasm of other and illdefined sites within the digestive organs and peritoneum",4,"cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","160","has a reference match",2038,0.837,0.048,0.648,0.808,0.838,0.864,0.966,"C30","Malignant neoplasm of nasal cavity and middle ear","malignant neoplasm of nasal cavities middle ear and accessory sinuses",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","161","has a reference match",2038,0.821,0.047,0.629,0.792,0.822,0.845,0.958,"C32","Malignant neoplasm of larynx","malignant neoplasm of larynx",1,"cancer of head and neck"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","162","has a reference match",2038,0.829,0.048,0.617,0.8,0.83,0.858,0.964,"C34","Malignant neoplasm of bronchus and lung","malignant neoplasm of trachea bronchus and lung",9,"lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","163","has a reference match",2038,0.808,0.051,0.587,0.778,0.808,0.837,0.959,"C38","Malignant neoplasm of heart, mediastinum and pleura","malignant neoplasm of pleura",9,"lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","164","has a reference match",2038,0.831,0.046,0.645,0.802,0.832,0.856,0.957,"D20","Benign neoplasm of soft tissue of retroperitoneum and peritoneum","malignant neoplasm of thymus heart and mediastinum",10,"other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","165","has a reference match",2038,0.822,0.05,0.604,0.79,0.82,0.855,0.981,"C39","Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs","malignant neoplasm of other and illdefined sites within the respiratory system and intrathoracic organs",9,"lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","170","has a reference match",2038,0.813,0.046,0.642,0.783,0.813,0.838,0.95,"C40","Malignant neoplasm of bone and articular cartilage of limbs","malignant neoplasm of bone and articular cartilage",11,"cancer of bone and connective tissue"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","171","has a reference match",2038,0.827,0.044,0.683,0.798,0.828,0.853,0.952,"C26","Malignant neoplasm of other and ill-defined digestive organs","malignant neoplasm of connective and other soft tissue",11,"cancer of bone and connective tissue"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","172","has a reference match",2038,0.841,0.041,0.664,0.814,0.843,0.869,0.949,"C43","Malignant melanoma of skin","malignant melanoma of skin",12,"skin melanoma"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","174","has a reference match",2038,0.824,0.047,0.657,0.796,0.825,0.85,0.955,"C50","Malignant neoplasm of breast","malignant neoplasm of female breast",13,"breast cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","175","no reference match",2038,0.825,0.047,0.641,0.796,0.826,0.849,0.955,"C30","Malignant neoplasm of nasal cavity and middle ear","malignant neoplasm of male breast",13,"breast cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","176","has a reference match",2038,0.841,0.049,0.684,0.805,0.843,0.88,0.941,"L42","Pityriasis rosea","kaposis sarcoma",10,"other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","179","has a reference match",2038,0.825,0.041,0.665,0.796,0.825,0.854,0.964,"C55","Malignant neoplasm of uterus, part unspecified","malignant neoplasm of uterus part unspecified",14,"uterus cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","180","has a reference match",2038,0.83,0.044,0.664,0.803,0.83,0.854,0.963,"C53","Malignant neoplasm of cervix uteri","malignant neoplasm of cervix uteri",15,"cervix cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","181","has a reference match",2038,0.83,0.044,0.642,0.803,0.831,0.855,0.953,"C58","Malignant neoplasm of placenta","malignant neoplasm of placenta",16,"cancer of other female genital organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","182","has a reference match",2038,0.815,0.047,0.606,0.786,0.814,0.839,0.952,"D20","Benign neoplasm of soft tissue of retroperitoneum and peritoneum","malignant neoplasm of body of uterus",14,"uterus cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","183","has a reference match",2038,0.838,0.046,0.652,0.809,0.839,0.864,0.96,"D28","Benign neoplasm of other and unspecified female genital organs","malignant neoplasm of ovary and other uterine adnexa",16,"cancer of other female genital organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","184","has a reference match",2038,0.839,0.048,0.634,0.809,0.839,0.867,0.977,"D28","Benign neoplasm of other and unspecified female genital organs","malignant neoplasm of other and unspecified female genital organs",16,"cancer of other female genital organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","185","has a reference match",2038,0.825,0.046,0.644,0.796,0.826,0.85,0.954,"C61","Malignant neoplasm of prostate","malignant neoplasm of prostate",17,"prostate cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","186","has a reference match",2038,0.837,0.042,0.682,0.809,0.837,0.863,0.956,"C15","Malignant neoplasm of oesophagus","malignant neoplasm of testis",18,"testis cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","187","has a reference match",2038,0.846,0.045,0.651,0.819,0.846,0.874,0.967,"C63","Malignant neoplasm of other and unspecified male genital organs","malignant neoplasm of penis and other male genital organs",19,"cancer of other male genital organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","188","has a reference match",2038,0.84,0.045,0.647,0.812,0.84,0.863,0.96,"C67","Malignant neoplasm of bladder","malignant neoplasm of bladder",20,"bladder cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","189","has a reference match",2038,0.856,0.045,0.653,0.828,0.857,0.885,0.973,"C68","Malignant neoplasm of other and unspecified urinary organs","malignant neoplasm of kidney and other and unspecified urinary organs",21,"cancer of kidney and other urinary organs"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","190","has a reference match",2038,0.838,0.043,0.654,0.812,0.839,0.861,0.959,"C03","Malignant neoplasm of gum","malignant neoplasm of eye",10,"other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","191","has a reference match",2038,0.821,0.046,0.621,0.794,0.822,0.846,0.958,"C71","Malignant neoplasm of brain","malignant neoplasm of brain",22,"cancer of brain and nervous system"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","192","has a reference match",2038,0.843,0.044,0.658,0.815,0.843,0.871,0.963,"C26","Malignant neoplasm of other and ill-defined digestive organs","malignant neoplasm of other and unspecified parts of nervous system",22,"cancer of brain and nervous system"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","193","has a reference match",2038,0.825,0.047,0.649,0.796,0.825,0.85,0.959,"D34","Benign neoplasm of thyroid gland","malignant neoplasm of thyroid gland",23,"thyroid cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","194","has a reference match",2038,0.836,0.045,0.668,0.807,0.835,0.863,0.977,"C75","Malignant neoplasm of other endocrine glands and related structures","malignant neoplasm of other endocrine glands and related structures",10,"other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","195","has a reference match",2038,0.842,0.042,0.67,0.816,0.842,0.867,0.968,"C79","Secondary malignant neoplasm of other and unspecified sites","malignant neoplasm of other and illdefined sites",10,"other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","196","has a reference match",2038,0.818,0.046,0.67,0.786,0.819,0.848,0.946,"C24","Malignant neoplasm of other and unspecified parts of biliary tract","secondary and unspecified malignant neoplasm of lymph nodes",24,"secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","197","has a reference match",2038,0.846,0.043,0.67,0.819,0.849,0.877,0.951,"D01","Carcinoma in situ of other and unspecified digestive organs","secondary malignant neoplasm of respiratory and digestive systems",24,"secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","198","has a reference match",2038,0.843,0.043,0.691,0.816,0.844,0.871,0.959,"C26","Malignant neoplasm of other and ill-defined digestive organs","secondary malignant neoplasm of other specified sites",24,"secondary malignancy"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","199","has a reference match",2038,0.825,0.04,0.635,0.801,0.825,0.849,0.969,"C80","Malignant neoplasm without specification of site","malignant neoplasm without specification of site",25,"malignant neoplasm without specification of site"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","200","has a reference match",2038,0.807,0.053,0.584,0.774,0.806,0.843,0.94,"C77","Secondary and unspecified malignant neoplasm of lymph nodes","lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue",26,"nonhodgkins lymphoma"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","201","has a reference match",2038,0.816,0.059,0.633,0.772,0.812,0.863,0.945,"B57","Chagas' disease","hodgkins disease",27,"hodgkins disease"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","202","has a reference match",2038,0.811,0.05,0.633,0.777,0.812,0.842,0.951,"C96","Other and unspecified malignant neoplasms of lymphoid, haematopoietic and related tissue","other malignant neoplasms of lymphoid and histiocytic tissue",26,"nonhodgkins lymphoma"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","203","has a reference match",2038,0.817,0.048,0.589,0.784,0.821,0.853,0.956,"C90","Multiple myeloma and malignant plasma cell neoplasms","multiple myeloma and immunoproliferative neoplasms",28,"multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","204","has a reference match",2038,0.794,0.05,0.627,0.756,0.796,0.832,0.944,"C91","Lymphoid leukaemia","lymphoid leukemia",28,"multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","205","has a reference match",2038,0.813,0.05,0.668,0.774,0.815,0.851,0.949,"C91","Lymphoid leukaemia","myeloid leukemia",28,"multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","206","has a reference match",2038,0.825,0.051,0.668,0.783,0.83,0.865,0.956,"C93","Monocytic leukaemia","monocytic leukemia",28,"multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","207","has a reference match",2038,0.826,0.058,0.648,0.784,0.829,0.876,0.939,"L11","Other acantholytic disorders","other specified leukemia",28,"multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","208","has a reference match",2038,0.828,0.046,0.627,0.797,0.832,0.862,0.955,"C95","Leukaemia of unspecified cell type","leukemia of unspecified cell type",28,"multiple myeloma and leukemias"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","209","no reference match",2038,0.836,0.039,0.693,0.808,0.842,0.867,0.915,"A74","Other diseases caused by chlamydiae","neuroendocrine tumors",10,"other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","225","has a reference match",2038,0.834,0.044,0.671,0.806,0.835,0.859,0.96,"D33","Benign neoplasm of brain and other parts of central nervous system","benign neoplasm of brain and other parts of nervous system",29,"other and unspecified benign neoplasm"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","230","has a reference match",2038,0.853,0.042,0.689,0.825,0.854,0.88,0.972,"D01","Carcinoma in situ of other and unspecified digestive organs","carcinoma in situ of digestive organs",4,"cancer of other gi organs peritoneum"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","231","has a reference match",2038,0.848,0.042,0.663,0.82,0.85,0.877,0.97,"D02","Carcinoma in situ of middle ear and respiratory system","carcinoma in situ of respiratory system",9,"lung and other respiratory cancer"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","233","has a reference match",2038,0.834,0.047,0.634,0.804,0.835,0.863,0.966,"D02","Carcinoma in situ of middle ear and respiratory system","carcinoma in situ of breast and genitourinary system",10,"other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","234","has a reference match",2038,0.846,0.042,0.686,0.819,0.847,0.87,0.975,"D09","Carcinoma in situ of other and unspecified sites","carcinoma in situ of other and unspecified sites",10,"other cancers"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","237","has a reference match",2038,0.846,0.045,0.656,0.817,0.847,0.875,0.971,"D43","Neoplasm of uncertain or unknown behaviour of brain and central nervous system","neoplasm of uncertain behavior of endocrine glands and nervous system",30,"neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","238","has a reference match",2038,0.835,0.044,0.645,0.807,0.834,0.863,0.965,"C39","Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs","neoplasm of uncertain behavior of other and unspecified sites and tissues",30,"neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","239","no reference match",2038,0.831,0.041,0.662,0.804,0.833,0.859,0.942,"D15","Benign neoplasm of other and unspecified intrathoracic organs","neoplasms of unspecified nature",30,"neoplasms of unspecified nature"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","240","has a reference match",2038,0.849,0.039,0.701,0.822,0.856,0.881,0.931,"K46","Unspecified abdominal hernia","simple and unspecified goiter",31,"thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","241","has a reference match",2038,0.866,0.043,0.729,0.833,0.87,0.902,0.946,"B70","Diphyllobothriasis and sparganosis","nontoxic nodular goiter",31,"thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","242","has a reference match",2038,0.848,0.047,0.688,0.815,0.856,0.885,0.942,"J31","Chronic rhinitis, nasopharyngitis and pharyngitis","thyrotoxicosis with or without goiter",31,"thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","243","has a reference match",2038,0.831,0.05,0.651,0.793,0.831,0.871,0.947,"D51","Vitamin B12 deficiency anaemia","congenital hypothyroidism",31,"thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","244","has a reference match",2038,0.829,0.051,0.673,0.791,0.832,0.868,0.932,"A24","Glanders and melioidosis","acquired hypothyroidism",31,"thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","245","has a reference match",2038,0.82,0.06,0.62,0.776,0.82,0.867,0.946,"E20","Hypoparathyroidism","thyroiditis",31,"thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","246","has a reference match",2038,0.802,0.053,0.637,0.762,0.809,0.844,0.935,"N64","Other disorders of breast","other disorders of thyroid",31,"thyroid disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","249","no reference match",2038,0.817,0.054,0.663,0.774,0.817,0.859,0.951,"O24","Diabetes mellitus in pregnancy","secondary diabetes mellitus",32,"diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","250","has a reference match",2038,0.779,0.06,0.607,0.734,0.776,0.825,0.928,"E11","Type 2 diabetes mellitus","diabetes mellitus",32,"diabetes mellitus"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","251","has a reference match",2038,0.85,0.045,0.68,0.822,0.858,0.884,0.939,"N29","Other disorders of kidney and ureter in diseases classified elsewhere","other disorders of pancreatic internal secretiondisorders of parathyroid gland",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","252","has a reference match",2038,0.842,0.052,0.667,0.805,0.846,0.885,0.945,"N75","Diseases of Bartholin's gland","disorders of parathyroid gland",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","253","has a reference match",2038,0.824,0.05,0.601,0.793,0.827,0.861,0.938,"Y53","Agents primarily affecting the gastrointestinal system","disorders of the pituitary gland and its hypothalamic control",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","254","has a reference match",2038,0.838,0.05,0.666,0.8,0.842,0.879,0.953,"N75","Diseases of Bartholin's gland","diseases of thymus gland",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","255","has a reference match",2038,0.869,0.037,0.715,0.845,0.876,0.897,0.943,"K55","Vascular disorders of intestine","disorders of adrenal glands",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","256","has a reference match",2038,0.837,0.045,0.69,0.804,0.844,0.874,0.929,"E28","Ovarian dysfunction","ovarian dysfunction",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","257","has a reference match",2038,0.829,0.05,0.666,0.792,0.835,0.868,0.932,"M47","Spondylosis","testicular dysfunction",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","258","has a reference match",2038,0.843,0.044,0.683,0.816,0.85,0.876,0.935,"E75","Disorders of sphingolipid metabolism and other lipid storage disorders","polyglandular dysfunction and related disorders",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","259","has a reference match",2038,0.792,0.046,0.636,0.761,0.797,0.826,0.898,"B71","Other cestode infections","other endocrine disorders",33,"other endocrine disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","260","has a reference match",2038,0.787,0.037,0.634,0.762,0.791,0.813,0.925,"E40","Kwashiorkor","kwashiorkor",34,"nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","261","has a reference match",2038,0.817,0.03,0.703,0.797,0.817,0.837,0.929,"E41","Nutritional marasmus","nutritional marasmus",34,"nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","262","has a reference match",2038,0.782,0.034,0.635,0.761,0.786,0.806,0.902,"O25","Malnutrition in pregnancy","other severe proteincalorie malnutrition",34,"nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","263","has a reference match",2038,0.772,0.033,0.632,0.751,0.776,0.796,0.897,"E46","Unspecified protein-energy malnutrition","other and unspecified proteincalorie malnutrition",34,"nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","268","has a reference match",2038,0.802,0.043,0.666,0.769,0.802,0.835,0.913,"E54","Ascorbic acid deficiency","vitamin d deficiency",34,"nutritional deficiencies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","270","has a reference match",2038,0.786,0.048,0.557,0.757,0.789,0.818,0.911,"E70","Disorders of aromatic amino-acid metabolism","disorders of aminoacid transport and metabolism",35,"other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","271","has a reference match",2038,0.783,0.03,0.641,0.764,0.785,0.803,0.866,"E72","Other disorders of amino-acid metabolism","disorders of carbohydrate transport and metabolism",35,"other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","272","has a reference match",2038,0.855,0.041,0.708,0.829,0.861,0.886,0.948,"E75","Disorders of sphingolipid metabolism and other lipid storage disorders","disorders of lipoid metabolism",36,"disorders of lipid metabolism"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","273","has a reference match",2038,0.79,0.031,0.645,0.771,0.793,0.812,0.87,"P71","Transitory neonatal disorders of calcium and magnesium metabolism","disorders of plasma protein metabolism",35,"other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","274","has a reference match",2038,0.792,0.046,0.642,0.758,0.79,0.828,0.897,"K25","Gastric ulcer","gout",37,"gout and other crystal arthropathies"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","275","has a reference match",2038,0.847,0.033,0.688,0.826,0.851,0.871,0.927,"P71","Transitory neonatal disorders of calcium and magnesium metabolism","disorders of mineral metabolism",35,"other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","277","has a reference match",2038,0.824,0.036,0.686,0.801,0.827,0.85,0.915,"K93","Disorders of other digestive organs in diseases classified elsewhere","other and unspecified disorders of metabolism",35,"other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","278","has a reference match",2038,0.844,0.042,0.684,0.818,0.851,0.874,0.925,"R34","Anuria and oliguria","overweight obesity and other hyperalimentation",35,"other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","279","has a reference match",2038,0.833,0.033,0.679,0.814,0.838,0.856,0.906,"I99","Other and unspecified disorders of circulatory system","disorders involving the immune mechanism",35,"other nutritional endocrine immunity and metabolic disorders"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","280","has a reference match",2038,0.841,0.05,0.664,0.803,0.844,0.88,0.956,"D51","Vitamin B12 deficiency anaemia","iron deficiency anemias",38,"anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","282","has a reference match",2038,0.818,0.047,0.649,0.782,0.821,0.854,0.925,"D58","Other hereditary haemolytic anaemias","hereditary hemolytic anemias",38,"anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","283","has a reference match",2038,0.836,0.044,0.674,0.804,0.841,0.872,0.937,"D58","Other hereditary haemolytic anaemias","acquired hemolytic anemias",38,"anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","284","has a reference match",2038,0.831,0.038,0.656,0.805,0.836,0.86,0.916,"C94","Other leukaemias of specified cell type","aplastic anemia and other bone marrow failure syndromes",38,"anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","285","has a reference match",2038,0.852,0.046,0.697,0.819,0.86,0.89,0.942,"D58","Other hereditary haemolytic anaemias","other and unspecified anemias",38,"anemia"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","286","has a reference match",2038,0.855,0.037,0.686,0.833,0.861,0.883,0.938,"D68","Other coagulation defects","coagulation defects",39,"other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","287","has a reference match",2038,0.843,0.036,0.695,0.82,0.848,0.87,0.951,"D69","Purpura and other haemorrhagic conditions","purpura and other hemorrhagic conditions",39,"other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","288","has a reference match",2038,0.769,0.027,0.628,0.752,0.77,0.787,0.875,"R71","Abnormality of red blood cells","diseases of white blood cells",39,"other hematologic conditions"
"10_9","ICD-9-CM to ICD-10-CA","ClinicalBERT","289","has a reference match",2038,0.826,0.036,0.692,0.804,0.83,0.851,0.92,"D75","Other diseases of blood and blood-forming organs","other diseases of blood and bloodforming organs",39,"other hematologic conditions"
